,storeid,createtime
817,1498133323074248704,1673783160000
818,1498133323074248704,1674052500000
819,1498136083073081344,1673874120000
820,1498136314632081408,1673783160000
821,1498136314632081408,1674052500000
822,1498136859740606464,1672632000000
823,1498136859740606464,1673844840000
824,1498136859740606464,1673849580000
825,1498138128463040512,1673260980000
826,1498138948105674752,1673139360000
827,1498139519965335552,1673855220000
828,1498140176554401792,1673850300000
829,1498140789090422784,1673506140000
830,1498141585844740096,1673142120000
831,1498141585844740096,1673241540000
832,1498147015383851008,1673765160000
833,1498147604301746176,1673164260000
834,1498148353744179200,1673172540000
835,1498148353744179200,1673773140000
836,1498148353744179200,1674009780000
837,1498152266891534336,1673490600000
838,1498152266891534336,1673748300000
839,1498155396274196480,1673157660000
840,1498155396274196480,1673770500000
841,1498155396274196480,1674022260000
842,1498155896361062400,1672637700000
843,1498156210438934528,1673785620000
844,1498156210438934528,1673785620000
845,1498160521088868352,1673230980000
846,1498160521088868352,1673846580000
847,1498160803491356672,1673231760000
848,1498160803491356672,1673845200000
849,1498161110690435072,1673230740000
850,1498162573474926592,1673248440000
851,1498162573474926592,1673248440000
852,1498162907211636736,1673234940000
853,1498162907211636736,1673234940000
854,1498170645169704960,1673148180000
855,1498171844740784128,1672633080000
856,1498177403904860160,1674011640000
857,1498179553372413952,1672627740000
858,1498179553372413952,1672627740000
859,1498180783150735360,1672810980000
860,1498180783150735360,1673849760000
861,1498182499120193536,1672643220000
862,1498182499120193536,1672641840000
863,1498182499120193536,1673858580000
864,1498182499120193536,1673858520000
865,1498187042071519232,1672655040000
866,1498189359772606464,1672637760000
867,1498189359772606464,1673247120000
868,1498189359772606464,1673850540000
869,1498189941459656704,1673840580000
870,1498190740528959488,1672622580000
